CPB/ROE,Título,Dias em exibição,Semanas em exibição,Sessões,Salas,Complexos,Grupos exibidores,Exibidores,Municípios,UFs,Máx. salas,Fontes,Última sessão registrada,ClassInd,Comentários,Ano de estreia,Estreia,Bilheteria,Público,Distribuidora,Ocupação Média,P.M.I.
X06,Utena Guerreira,,,,,,,,,,,,,,Filme de Festival - Exibido no Festival Mix Brasil de 2002,2002,10/11/2002,,,,,
X13,Viagem a Agartha,,,,,,,,,,,,,,"Filme de Festival - Exibido no Festival ""Totalmente Animê: um Panorama Moderno da Animação Japonesa"" do CCSP",2011,3/7/2011,,,,,
X14,Your Name.,,,,,,,,,,,,,,Filme de Festival - Exibido no Cinemark Movie Night 2017,2017,11/10/2017,,,Cinemark,,
X15,Sword of the Stranger,,,,,,,,,,,,,,Filme de Festival - Exibido no Cinemark Movie Night 2017,2017,11/21/2017,,,Cinemark,,
X16,Heaven's Lost Property: The Angeloid of Clockwork,,,,,,,,,,,,,,Filme de Festival - Exibido no Cinemark Movie Night 2017,2017,12/20/2017,,,Cinemark,,
X17,"Hetalia: Axis Powers - Paint it, White!",,,,,,,,,,,,,,Filme de Festival - Exibido no Cinemark Movie Night 2018,2018,1/13/2018,,,Cinemark,,
X18,Fireworks - Luzes no Céu,,,,,,,,,,,,,,Filme de Festival - Exibido no Cinemark Movie Night 2018,2018,3/20/2018,,,Cinemark,,
X19,Bungo Stray Dogs: Dead Apple,,,,,,,,,,,,,,Filme de Festival - Exibido no Festival de Ação Japonês da Sato Company/Aliança Brasil-Japão de 2018,2018,8/25/2018,,,Sato Company,,
X20,Mary and the Witch's Flower,,,,,,,,,,,,,,Filme de Festival - Exibido no Cinemark Movie Night 2018,2018,10/11/2018,,,Cinemark,,
X21,Saga of Tanya the Evil: The Movie,,,,,,,,,,,,,,Filme de Festival - Exibido no JFX Festival de Anime 2019,2019,8/24/2019,,,Sato Company,,
X22,A Garota que Saltava no Tempo,,,,,,,,,,,,,,https://www.jbox.com.br/2020/01/31/human-lost-filme-que-adapta-um-dos-maiores-classicos-da-literatura-japonesa-tem-pre-estreia-gratuita-em-sao-paulo/ (listado no ClassInd como A GAROTA QUE CONQUISTOU O TEMPO),2011,1/31/2020,,,Sato Company,,
X23,O Menino Mágico,,,,,,,,,,,,,,,,,,,,,
X24,Alakazam no Reino Mágico,,,,,,,,,,,,,,,,,,,,,
X25,A Serpente Branca (Hakujaden),,,,,,,,,,,,,,,,,,,,,
X26,Cyborg 009,,,,,,,,,,,,,,,,,,,,,
X27,Príncipe Suzano e o Dragão de 8 Cabeças,,,,,,,,,,,,,,,,,,,,,
X28,As Aventuras de Sinbad,,,,,,,,,,,,,,,,,,,,,
X29,O Mágico de Oz,,,,,,,,,,,,,,,,,,,,,
X30,Guerra no Futuro 198X,,,,,,,,,,,,,,,,,,,,,
