CPB/ROE,Ano,Bilheteria total,Dias no ano,Sessões no ano,Máx. complexos,Máx. grupos exibidores,Máx. exibidores,Máx. municípios,Máx. UFs,Última sessão registrada,Público total,Semanas em exibição,Gênero,Países,Salas na estreia,Título,Estreia,Máx. salas,Público no ano,Bilheteria no ano,Distribuidora,Fontes
E2400380200000,2024,1075091.22,27.0,9435.0,486.0,46.0,135.0,233.0,27.0,2024-12-30,53078.0,4.0,Animação,Estados Unidos,597.0,O SENHOR DOS ANÉIS: A GUERRA DOS ROHIRRIM,2024-12-05,785.0,53072.0,1075091.22,Warner,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400380200000,2025,,,1.0,1.0,0.0,1.0,1.0,1.0,2025-01-01,53078.0,,,,,,2025-01-01,1.0,6.0,,Warner,Ancine - dados.gov.br // Ancine - dados.gov.br
E2400431500000,2024,501466.07,21.0,1664.0,110.0,14.0,19.0,66.0,25.0,2024-12-25,23186.0,3.0,Animação,Japão,149.0,SOLO LEVELING - SEGUNDO DESPERTAR,2024-12-05,169.0,23186.0,501466.07,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2400447100000,2024,,,74.0,18.0,5.0,5.0,11.0,8.0,2024-12-15,7365.0,,,,,,2024-12-12,22.0,7365.0,,Trafalgar,Ancine - dados.gov.br // Ancine - dados.gov.br
E2500003800000,2025,411652.68,28.0,4840.0,398.0,42.0,106.0,211.0,27.0,2025-05-25,41643.0,,,,,DRAGON BALL DAIMA - ESPECIAL,2025-02-06,500.0,41643.0,411652.68,Paris Filmes,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500007100000,2025,1032526.71,33.0,5180.0,255.0,24.0,51.0,121.0,27.0,2025-04-02,50247.0,,,,,ATTACK ON TITAN : O ÚLTIMO ATAQUE,2025-02-27,490.0,50247.0,1032526.71,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500094700000,2025,184900.63,14.0,1734.0,132.0,15.0,25.0,79.0,26.0,2025-04-23,9106.0,,,,,KAIJU NO. 8: MISSÃO DE RECONHECIMENTO,2025-04-10,167.0,9106.0,184900.63,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500107900000,2025,265095.47,31.0,309.0,81.0,20.0,32.0,63.0,23.0,2025-07-16,12131.0,,,,,COLORFUL STAGE! O FILME: UMA MIKU QUE NÃO SABE CANTAR,2025-06-05,102.0,12131.0,265095.47,Cinecolor,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500150100000,2025,48509561.7,105.0,63140.0,769.0,64.0,291.0,451.0,27.0,2025-12-30,2390443.0,,,,,DEMON SLAYER: KIMETSU NO YAIBA CASTELO INFINITO,2025-09-09,2498.0,2390190.0,48501959.6,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500150100000,2026,48530553.7,14.0,14.0,730.0,1.0,1.0,1.0,1.0,2026-01-14,2390443.0,,,,,DEMON SLAYER: KIMETSU NO YAIBA CASTELO INFINITO,2026-01-01,1694.0,253.0,7602.1,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500218900000,2025,156299.93,7.0,63.0,20.0,1.0,1.0,16.0,11.0,2025-06-25,6448.0,,,,,DAN DA DAN EVIL EYE,2025-06-19,20.0,6448.0,156299.93,Paris Filmes,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500300100000,2025,301863.9,14.0,138.0,11.0,7.0,8.0,10.0,8.0,2025-09-03,14987.0,,,,,PRINCESA MONONOKE,2025-08-21,11.0,13214.0,301863.9,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500300100000,2026,336202.54,9.0,87.0,53.0,5.0,11.0,40.0,18.0,2026-02-28,15062.0,,,,,PRINCESA MONONOKE,2026-02-19,67.0,1848.0,34338.64,,Ancine - Painel OCA // Ancine - dados.gov.br
E2500317200000,2025,174779.04,14.0,190.0,20.0,1.0,1.0,15.0,12.0,2025-08-27,7659.0,,,,,JUJUTSU KAISEN: HIDDEN INVENTORY / PREMATURE DEATH - THE MOVIE,2025-08-14,23.0,7659.0,174779.04,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500357500000,2025,4876287.32,41.0,20658.0,668.0,56.0,224.0,383.0,27.0,2025-12-28,247104.0,,,,,CHAINSAW MAN – O FILME: ARCO DA REZE,2025-10-20,1391.0,247104.0,4876287.32,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
